ccode,pop,rgdpch,democracy,vdiss,vdissdum,repression
713,19083.35,7354.16015625,-4.309,.0002,0,-.63770002
731,14362,834,-4.301,0,0,.1548
732,40406,5744.97998046875,-2.341,.0002,0,-.018929999
740,120140.5,16596.380859375,.8635000000000001,.0002,0,-1.397
750,746654.1800000001,1516.420043945313,-.6517,.2245,1,.4562
760,1392.49,472.2200012207031,-3.607,0,0,-1.101
770,96283.75,1845.349975585938,-4.54,.0012,0,.68099999
771,97611.76,1398.900024414063,-4.357,.02579,0,.03421
775,36230,840.5900268554688,-4.336,.9878,1,.3725
780,15810.02,2116.340087890625,-.6149,.9954,1,1.4069999
790,16613.36,980.8499755859375,-3.311,.0002,0,-.4325
800,50553.29,3179.050048828125,-1.466,.001,0,-.032439999
812,3576.71,1000.840026855469,-4.41,.0002,0,.80059999
816,58465.68,1369.75,-4.352,.001,0,.88059998
820,15157.33,5776.25,-1.123,0,0,-.676
830,2732.2,15309.26953125,-1.627,.0002,0,-.4707
840,55963.79,3201.02001953125,-1.985,.9852,1,.70859998
850,168230.58,2244.5,-2.288,.1066,1,.90429997
900,15449.33,18472.8203125,1.241,.006198,0,-1.249
950,685.5700000000001,4335.5400390625,-.2739,.0004,0,-1.286
